Gender,Area of study,Class Level,GPA (out of 4.0),ACT (out of 36),Which animal is better?,What's the best kind of pizza?,What's your favorite sport?,How will humanity end?,Who would make the best U.S. President?
Male,Engineering,2nd year,3.7,25,Cats,Hawaiian,Soccer,Nuclear war,Bernie Sanders
Female,Natural Science,Graduate student,3.7,34,Cats,Veggie,Football,Global warming,Bernie Sanders
Female,Engineering,2nd year,3.4,31,Cats,Pepperoni,Football,Nuclear war,Bernie Sanders
Non-binary,Education,Graduate student,4,36,Cats,Cheese,Soccer,The Rapture,Donald Trump
Male,Engineering,2nd year,3.59,27,Dogs,Meat lovers,Football,Sun exploding,Jeb Bush
Male,Engineering,2nd year,3.2,26,Cats,Meat lovers,Esports,Sun exploding,Bernie Sanders
Male,Engineering,3rd year,3.7,34,Dogs,Hawaiian,Football,Nuclear war,Jeb Bush
Male,Engineering,4th year,3.4,25,Dogs,Hawaiian,Basketball,Nuclear war,Bernie Sanders
Female,Engineering,3rd year,3.9,27,Dogs,Pepperoni,Basketball,Nuclear war,Donald Trump
Male,Communication Arts and Sciences,Graduate student,3.5,25,Dogs,Veggie,Esports,Sun exploding,Bernie Sanders
Male,Engineering,4th year,3.4,26,Dogs,Meat lovers,Esports,Global warming,Jeb Bush
Male,Engineering,3rd year,3.1,24,Dogs,Pepperoni,Football,Global warming,Bernie Sanders
Female,Engineering,Graduate student,3.5,36,Cats,Veggie,Basketball,Sun exploding,Hillary Clinton
Male,Engineering,1st year,3.5,34,Cats,Meat lovers,Esports,The Rapture,Donald Trump
Male,Natural Science,Graduate student,3.5,1,Dogs,Hawaiian,Football,Global warming,Donald Trump
Female,Engineering,4th year,3.56,28,Cats,Hawaiian,Board games,Global warming,Bernie Sanders
Male,Engineering,3rd year,3.1,33,Dogs,Cheese,Board games,Zombie apocalypse,Bernie Sanders
Male,Engineering,1st year,4,34,Dogs,Meat lovers,Football,Nuclear war,Bernie Sanders
Male,Engineering,2nd year,3.03,32,Cats,Meat lovers,Esports,Nuclear war,Bernie Sanders
Male,Engineering,Graduate student,4,36,Dogs,Pepperoni,Basketball,Sun exploding,Donald Trump
Male,Natural Science,4th year,2.8,31,Dogs,Veggie,Board games,The Rapture,Bernie Sanders
Male,Engineering,3rd year,3.7,33,Dogs,Cheese,Soccer,Nuclear war,Bernie Sanders
Male,Engineering,2nd year,3.87,28,Cats,Meat lovers,Board games,Nuclear war,Bernie Sanders
Male,Engineering,2nd year,3.4,27,Dogs,Hawaiian,Football,The Rapture,Donald Trump
Male,Engineering,2nd year,3.35,27,Dogs,Pepperoni,Baseball,Sun exploding,Donald Trump
Male,Engineering,2nd year,3.4,27,Dogs,Hawaiian,Football,The Rapture,Donald Trump
Male,Engineering,1st year,3.8,29,Dogs,Hawaiian,Esports,Global warming,Bernie Sanders
Male,Engineering,2nd year,3.7,30,Cats,Cheese,Esports,Sun exploding,Jeb Bush
Female,Engineering,3rd year,3.2,29,Dogs,Veggie,Football,Sun exploding,Hillary Clinton
Male,Engineering,2nd year,3,28,Dogs,Hawaiian,Football,Sun exploding,Donald Trump
Female,Natural Science,1st year,4,30,Dogs,Hawaiian,Board games,Global warming,Bernie Sanders
Male,Engineering,4th year,4,32,Dogs,Meat lovers,Football,Nuclear war,Donald Trump
Male,Engineering,4th year,3.2,29,Dogs,Pepperoni,Soccer,Nuclear war,Bernie Sanders
Female,Engineering,4th year,3.7,32,Cats,Veggie,Soccer,Global warming,Hillary Clinton
Male,Engineering,2nd year,3.4,30,Dogs,Cheese,Basketball,Sun exploding,Donald Trump
Male,Engineering,4th year,3.73,30,Dogs,Meat lovers,Basketball,Sun exploding,Hillary Clinton
Female,Engineering,2nd year,4,34,Cats,Veggie,Soccer,Sun exploding,Bernie Sanders
Male,Engineering,4th year,3.05,25,Cats,Pepperoni,Soccer,Zombie apocalypse,Bernie Sanders
